name,raw_description
LX7 folding 7in FPV frame,"CAD reference model of LX7 7in folding FPV drone carbon fiber frame. You will need 6mmx12mm ""inline socket screws"" that hold the arms to the frame, i don't know the exact name. Original standoffs are 25mm, 30mm standoffs pictured. Part ""armstop"" is 3D printed. Also required are M3x12mm thumbscrews to fix the arms where the M3 inserts are.

Link: aliexpress.com/item/1005007285463373.html
Frame size: 250*272*38mm 
Folded size: 346*86*38mm 
Wheelbase: 314mm
Arm thickness: 5mm 
Base plate thickness: 2.5mm 
Thickness of the middle plate: 2.5mm 
Upper plate thickness: 2.5mm 
Weight: 180g
Motor mounting hole spacing: 16*19/19*19mm 
Camera mounting spacing: 19mm 
Stack height: 25mm 
Support propeller: 7 inches"
Download the drone design and print it using a 3D printer,"This is a quadcopter (four-propeller drone) design that you can produce by printing its parts individually with a 3D printer. It has been developed by examining commercially available drone designs. You can download this design for free and use it in your own projects.

Bu, parçalarını 3D yazıcıda tek tek basarak üretebileceğiniz bir quadcopter (dört pervaneli drone) tasarımıdır. Piyasada satılan ticari drone tasarımlarına bakılarak geliştirilmiştir. Bu tasarımı ücretsiz olarak indirebilir ve kendi projelerinizde kullanabilirsiniz."
"APC 7 x 11E 7"" Propeller Recreation from Optical Scan",This is the APC 7 x 11E propeller. This model was created from a 0.2mm resolution optical scan mesh.
Avalon Mk3 Frame,"Introducing the highly anticipated Avalon Mk3. This True-X style frame is engineered for freestyle and long-range flying, prioritizing both durability and user-friendliness. The Avalon Mk3 offers versatile stack mounting options with 30.5mm, 25.5mm, and 20mm configurations at both the center and rear, accommodating the most popular VTXs. Available in 5"" and 7"" variants, it meets diverse flying needs.

Designed with a tall 28mm frame height, the Avalon Mk3 maximizes internal space for components. Its expansive 250mm wheelbase enhances maneuverability and provides flexibility in propeller selection.

VTX Compatibility:
-DJI Vista
-DJI O3
-Walksnail Moonlight
-Other Walksnail systems
-HDZero systems
-Analog systems
Rear space of ~50mm x ~35mm x ~28mm

Change log:
-Added 7"" arm variant
-Thinner arms for minor weight savings
-More symmetrical arm design
-Increased impact crush zone in arms
-Inverted arm pressnut locations (easier to swap arms)
-Increased rear mounting area by 4mm
-Verified fitment for DJI O3 and Walksnail Moonlight vTXs
-Smaller camera plate
-Better tolerances on camera plates
-Removed unused zip-tie holes
-Added battery strap slots to top plate
-Lengthened top plate
-New arm retention plate design
-New bottom plate central design
-Cleaned up some dimensions and curves


Available for purchase on 5/20/24 on cncdrones.com. Designs subject to copyright laws.

Buy my frames here: https://www.cncdrones.com/CaptainVietnam6_c_90.html
Arm protector 3D Print file: https://www.thingiverse.com/thing:6624849

Contact me at kiet.riley2005@gmail.com or on discord @captainvietnam6 if you have any questions or requests


Copyright (©) 2024 Kiet Pham <kiet.riley2005@gmail.com>

This work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-sa/4.0/.

Contact me for commercial usage.


6/4/24 Update:
-Changed cam plate to have an additional dogbone
-Fixed mistake where .STEP files didnt upload. There should be .f3d and .step available for every part now, a total of 16 files"
"APC 8 x 8E 8"" Propeller Recreation from Optical Scan","This is the APC 8 x 8E propeller. This model was created from a 0.2mm resolution optical scan mesh.


This small propeller has a very high pitch (up to 50.9 degrees), which lends itself to high air inlet speeds."
"APC 5.25 x 8E 5"" Propeller Recreation from Optical Scan","This is the APC 5.25 x 8E propeller. This model was created from a 0.2mm resolution optical scan mesh.

This small propeller has a very high pitch (up to 58.4 degrees), which lends itself to high RPM and high air inlet speeds (going fast).

Performance data from APC is attached"
Sardinian Pilot rc sailboat 3D printable 78 cm long,"(update) Hi guys, as already indicated in my last work on the J-Class Rainbow, I had to learn how to use the Fusion 360 software well and therefore what better way to learn by drawing something of great interest to me (sailing boats).
Came out a sailing Pilot that I really like in its lines and I was missing in my living room as a model.
I designed it to be able to print it in 3D, divided into 3 sections for medium-sized printers.
Obviously, being an old model maker, I wanted the new technology to marry with the old and therefore the model will have the deck covered with wooden slats and the mast will also be made of wood, and can be customized as desired by whoever wants to build it.
The maneuvers are moved by a closed circuit for the mainsheet and jib sheet, in the printout of the model the pulleys for the circuit and the seats for the servocontrols have been prepared which will only have to be fixed, the propeller shaft has a section of 10 mm of those that are available on the market.
The servo is economic, makes 4 complete turns and its pulley was not good, I redesigned it a little bigger.
The motor seat is also designed for motors that you can recover from old hairdryers or buy, the motor is only for service and not cooled, from tests done it heats little.
Below you will find the STL files for those wishing to try their hand at construction.
For print the 3 sectionof the hull I recommend PLA LW which is much lighter and you can print the hull with 100% infill.My print is in normal Pla but pay attention to the thickness of the hull, it must not have a filling greater than 25% and this could cause water infiltrations. I resolved this with a coat of external epoxy resin, the weight of the 3 sections must be less than 1 kg ( after removing the printing supports.
Obviously being ""in progress"" there will probably be some additions if the construction requires it.
I uploaded a YouTube link where you can see photos of the construction done so far, which will be updated as the work progresses.
STL files are corrected from errors found on the first model to simplify the work.
Check every now and then for changes or additions to files.

https://www.youtube.com/watch?v=a61hky0HmbI

https://www.youtube.com/watch?v=txcbrnF0e0o

https://www.youtube.com/watch?v=y2O-w_wN-Bc"
Rc Plane,"i made this plane for a project its made using 6mm balsa,3mm balsa and 4.3mm plywood. if you plan on making this plane the net weight should not exceed 2kg, You can go ahead and change the airfoil if you want ive used  NACA 0012 cause its a symmetrical airfoil as i initially designed this plane for aerobatics.
Be sure to leave a like ❤️❤️❤️"
Four Blade Propeller SubD to Nurbs.,"Four-bladed propeller, made with subdivision surfaces and converted to solid Nurbs, available in various CAD formats and also with UV mapping on 3D OBJ files, and the low polygon file, can be used with programs that support subdivision surfaces, while the ones high are useful for printing. 
The model is made without references, useful for scale models, and 3D CAD drawings."
Three bladed propeller SubD to Nurbs,"This is a three-bladed propeller, useful for your CAD models and to also be used with mesh programs, in fact the OBJ Low file has the mesh topology ready to be used with subdivision surfaces, or to convert it to NURBS, the OBJ model also has UV mapping so you can add texture. 
Propeller model made without references, but should be unobtrusive, for use with scale models and for CAD drawing boards."
